1 observation
	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10	d0_11	d0_12	d0_13	d0_14	d0_15	d0_16	d0_17	d0_18	d0_19	d0_20
d1_0	26.52139243602141 11.41251239461546 4.491126569967845 1.024999749884647 0.4261478332586763 0.155378105415488 0.04479168891734333 0.01245071195729217 0.003518054024498417 0.0007459055018292258 8.808647164524464e-05 4.699748858938142e-06 3.042761392564681e-07 1.128418540855407e-07 3.196633389967471e-08 6.362347192733423e-09 8.488526700169723e-10 7.132067248364092e-11 3.43496165920151e-12 8.086236437408664e-14 3.271402708080272e-16
d1_1	26.14346526952541 4.461528168782022 2.689462281660132 1.727930474180021 1.097788743341322 0.5301732730179695 0.1958298346553232 0.06028102719856903 0.01721405445391884 0.003730818353857097 0.0004836252943397616 4.90460565861295e-05 1.391226764289944e-05 5.451941446991856e-06 1.570653255687828e-06 3.155137418205855e-07 4.230702840626078e-08 3.562674984068412e-09 1.717200942924616e-10 2.021559109352163e-12 0
d1_2	9.213156169345728 2.716196474052326 1.862685722334852 1.62852583572935 1.340805358454522 0.7946100324235273 0.3269251267859071 0.1071579261990667 0.03239447939921993 0.007936288948454648 0.001609284571391332 0.000516630634634554 0.0002495544931268094 0.0001009572676847577 2.944820784810216e-05 5.957659540711929e-06 8.019011671210817e-07 6.764296407568084e-08 1.631141476521645e-09 0 0
d1_3	1.111115532230715 0.7863059427642151 1.2107552102109 1.450106480161012 1.207031917831105 0.7014620496121835 0.298537758383645 0.1128882300777136 0.04299721452339471 0.01601366624703261 0.007219702130056301 0.004273157584726175 0.002336402389032208 0.0009647344509280189 0.0002841306461100814 5.780582707169042e-05 7.803882553896632e-06 3.295779783453036e-07 0 0 0
d1_4	0.1564891122425635 0.8314166535992402 1.754654620688866 1.973308870731632 1.357379625314985 0.6536429467252887 0.2770458419345351 0.1331348021637943 0.07268828670958108 0.04383986082834598 0.03141958607564738 0.0224514260480576 0.01283925552891563 0.005378875608920594 0.001596521803436715 0.0003262908844317751 2.207778523149693e-05 0 0 0 0
d1_5	0.1780499738382949 1.07084291016855 2.463320178556454 2.848280292212293 1.876755856069697 0.8203032598355657 0.3281971916250929 0.1764765041192945 0.1261621999643347 0.1072561810683401 0.09688407074949237 0.07518407794033882 0.04410306768144992 0.01868189928339811 0.005580740637791924 0.0005724363194725443 0 0 0 0 0
d1_6	0.1623579642909878 1.021520548327236 2.423636323804498 2.84897019882895 1.876227421111827 0.7985687353885643 0.3071405611110101 0.1819835667928042 0.1736785031224389 0.1955452341370787 0.2025996002525368 0.1646299733340962 0.09824103199437606 0.04198647396351072 0.006305223005745833 0 0 0 0 0 0
d1_7	0.1006760942216674 0.6395802716520897 1.531056771338549 1.816811997479167 1.208475351335971 0.5160552541898232 0.1994101586991202 0.141557326398786 0.1860185762512632 0.2562487164901259 0.2871907956304486 0.2399615273570399 0.1450137476682851 0.03121707823526816 0 0 0 0 0 0 0
d1_8	0.03894479869425334 0.2489083440567235 0.6021441452521717 0.728043362936116 0.4998676347012645 0.2229687795526796 0.09328550492787639 0.08838583787451312 0.1530166109256565 0.237640422681683 0.2782261136266535 0.2366490309521532 0.07217208394185634 0 0 0 0 0 0 0 0
d1_9	0.008862281634304869 0.05743535690352582 0.1424418700232918 0.1800940540991497 0.1333125527714663 0.06638626905167153 0.03442967467229916 0.04807437875166085 0.1002467067478766 0.1653393594524921 0.1976276349430057 0.08467910353697333 0 0 0 0 0 0 0 0 0
d1_10	0.001091428599480812 0.007352973442197702 0.0194972840657003 0.02752546954467381 0.02399195844147842 0.01535077591991217 0.01457843291962247 0.03370046312439791 0.07679455379678149 0.1274823207795208 0.07546568016198325 0 0 0 0 0 0 0 0 0 0
d1_11	6.344089654419703e-05 0.0004907445476234505 0.001585559428938172 0.00288169966522547 0.0035126232158952 0.004903026122359655 0.01434774603574546 0.04493696979351076 0.1035252177957049 0.08467910353697333 0 0 0 0 0 0 0 0 0 0 0
d1_12	1.917440744208697e-06 2.266454642524492e-05 0.0001063423040541396 0.0002896762855921624 0.0008515877895527043 0.004145147504098182 0.01900613125354907 0.06250202297724974 0.07217208394185634 0 0 0 0 0 0 0 0 0 0 0 0
d1_13	1.098432271509254e-07 1.397790965399801e-06 8.560517498639448e-06 6.013671061750667e-05 0.0005489039227664554 0.003901736770276467 0.01884236044608845 0.03121707823526816 0 0 0 0 0 0 0 0 0 0 0 0 0
